avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,quarantine_reason
125,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
101,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
135,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
125,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
131,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
76,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
126,temp,0.0,,2,0.0,low,,Left,,Duplicate row
126,temp,0.0,,2,0.0,low,,Left,,Duplicate row
69,temp,0.0,,1,0.0,low,,Employed,,Duplicate row
69,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
69,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
101,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
114,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
87,temp,1.0,,2,0.0,medium,,Employed,,Duplicate row
100,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
82,temp,0.0,,1,0.0,low,,Employed,,Duplicate row
126,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
125,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
85,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
82,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
117,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
85,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
87,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
76,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
85,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
127,temp,0.0,,2,0.0,medium,,Left,,Duplicate row
127,temp,0.0,,2,0.0,medium,,Left,,Duplicate row
125,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
131,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
117,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
103,temp,0.0,,1,0.0,low,,Employed,,Duplicate row
69,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
82,temp,0.0,,1,0.0,low,,Employed,,Duplicate row
66,temp,1.0,,2,0.0,low,,Employed,,Duplicate row
135,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
127,temp,0.0,,2,0.0,medium,,Left,,Duplicate row
87,temp,1.0,,2,0.0,medium,,Employed,,Duplicate row
69,temp,0.0,,1,0.0,low,,Employed,,Duplicate row
66,temp,1.0,,2,0.0,low,,Employed,,Duplicate row
114,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
69,temp,0.0,,1,0.0,low,,Employed,,Duplicate row
87,temp,0.0,,2,0.0,low,,Employed,,Duplicate row
103,temp,0.0,,1,0.0,low,,Employed,,Duplicate row
126,temp,0.0,,2,0.0,low,,Left,,Duplicate row
100,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
69,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
101,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
82,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
126,temp,0.0,,2,0.0,medium,,Employed,,Duplicate row
100,temp,0.0,,1,0.0,medium,,Employed,,Duplicate row
