country,major_regions,percentage_of_world_production
Brazil,"Minas Gerais, EspÃ­rito Santo, SÃ£o Paulo, Bahia, ParanÃ¡",37.4%
Vietnam,"Central Highlands (Dak Lak, Lam Dong, Gia Lai, Kon Tum)",seventeen point six percent
Colombia,,6.5%
Indonesia,"Sumatra, Java, Sulawesi, Bali, Flores, Papua",5.5%
Ethiopia,"Sidamo, Yirgacheffe, Harrar, Limu, Jimma",4.7%
Uganda,"Bugisu, West Nile, Central Uganda",3.9%
India,"Karnataka, Kerala, Tamil Nadu, Andhra Pradesh",133.3%
,"Santa BÃ¡rbara, CopÃ¡n, Lempira, Ocotepeque",N/A
Peru,"Cajamarca, San Martin, JunÃ­n, Cusco, Puno",2.4%
Mexico,"Chiapas, Veracruz, Oaxaca, Puebla, Guerrero",2.3%
Guatemala,"Huehuetenango, Antigua, AtitlÃ¡n, CobÃ¡n, Fraijanes Plateau",1.9%
Nicaragua,"Jinotega, Matagalpa, Nueva Segovia",1.5%
China,"Yunnan, Fujian, Hainan",1.0%
Malaysia,"Sabah, Sarawak",0.8%
Costa Rica,"Central Valley, TarrazÃº, West Valley, Tres RÃ­os",0.8%
CÃ´te D'Ivoire,"Western and Central Regions (Soubre, Man, Daloa)",0.8%
Tanzania,"Northern Highlands (Kilimanjaro, Arusha), Mbeya, Ruvuma",0.8%
Papua New Guinea,"Eastern Highlands, Western Highlands, Simbu, Morobe",0.5%
Kenya,"Mount Kenya Region (Nyeri, Kirinyaga, Embu, Murangâ€™a)",-0.5%
Thailand,"Northern Region (Chiang Mai, Chiang Rai)",0.4%
